,tweet,Classification,compound,gt
14,Finalmente algo Novo que não seja Coronavirus para a gente se distrair !! A treta Anita x Léo Dias e etc ... Vai me render bons capítulos de distração ! The mask is falling! Fogo no Parquinho,Negative,-0.877,Negative
15,"Ainda há quem diga que o ser humano vai sair melhor dessa pandemia de coronavírus, mais consciente, mais ""humano"", aprender a se colocar no lugar do outro, respeitar o próximo. Eu já deixei de acreditar nisso há muito tempo! A sociedade se perdeu no seu egoísmo.",Positive,0.1007,Positive
16,"#24Maio | #Coronavirus Relatório da DGS, Direção Geral da Saúde, do dia de hoje #COVID19PT",Neutral,0.0,Neutral
17,Afinal tem bues de coronavirus Tou a ver esse documentário assim: ,Positive,0.3612,Neutral
18,"Dp da pandemia e de tt encherem a cabeca aos portugueses e dp de 1 ano c coronavirus e feitas as contas de uns e d outros, havera mais apoiantes de Trump e Bolsonaro em Portugal q no pre-Covid. Provavelmente nos 2 paises serao reeleitos. É q ja n ha pachorra p tt hate idiota.",Negative,-0.7190000000000001,Positive
19,"Uma enfermeira que está a cuidar da minha avó ligou me em videochamada para eu a ver, já não a via desde Agosto e entretanto a minha avó já venceu muitas batalhas contra gripes e até o coronavirus. 84 anos e continua uma guerreira! É para sempre a minha inspiração! Obrigada avó ",Positive,0.8475,Neutral
20,Saudades desses momentos #FiqueEmCasa #StayHome #vaipassar #Covid_19 #coronavirus ,Negative,-0.1531,Positive
21,Cristiano Ronaldo e Juventus com testes negativos ao novo coronavírus http://dlvr.it/RX5ctb Em http://www.TSF.pt,Negative,-0.5719,Negative
22,Esse cara evitou o Coronavírus uma década atrás...ao derrubar um morcego durante um jogo hehehehe,Negative,-0.34,Negative
23,"É, Fundamental mesmo Que “C” identififique o Monstro como Corona Vírus, porque nesse caso específico já não quem é mais monstruoso se o CH19 se Bolsonáro!!!",Positive,0.5538,Negative
24,"@iarapatriciaa gata você não é corona vírus, mas eu quero te pegar ",Positive,0.1154,Negative
25,"Foi toda cagada essa temporada. Drag cancelada tendo que ser picotada na edição, corona vírus alterando o formato a final. Uó",Negative,-0.6705,Positive
26,"se não tivessem reclamado do “obrigada, coronavirus” a publiesi tinha feito",Positive,0.3089,Negative
27,"“Ainda bem que a natureza criou esse monstro chamado coronavírus” Lula, o ladrão “Quem é direita toma cloroquina, quem é esquerda toma tubaína” Bolsonaro, o doido. No mesmo dia quase 1200 mortes. Brasil não é sério, nunca foi, e pelo jeito nunca será.",Negative,-0.29100000000000004,Neutral
28,Saudade de um rolê sozinho num parque ao entardecer... #quarentena #isolamentosocial #fiqueemcasa #covid19 #coronavirus em Parque Eduardo VII https://www.instagram.com/p/CAZY7sBFEGF/?igshid=p18nxtyh5nyj,Negative,-0.5859,Neutral
29,Eu : vírus deixa lá um gajo sair a vontade Corona vírus : ,Neutral,0.0,Neutral
